2020-11-26 11:08:36,810 [Worker-267] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-11-26 11:08:36,813 [Worker-267] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-26 11:08:36,866 [Worker-267] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\project4\project\ORSProject4\src\test\resources
2020-11-26 11:08:44,730 [Worker-259] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-26 11:08:44,762 [Worker-259] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-11-26 11:08:44,765 [Worker-259] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-26 11:08:44,798 [Worker-259] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\project4\project\ORSProject4\src\test\resources
2020-11-26 11:15:59,007 [Worker-272] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-26 11:15:59,074 [Worker-272] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2020-11-26 11:15:59,082 [Worker-272] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-26 11:15:59,122 [Worker-272] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\project4\project\ORSProject4\src\test\resources
2020-11-26 13:32:56,050 [Worker-263] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-11-26 13:32:56,088 [Worker-263] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-11-26 13:32:56,091 [Worker-263] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
